,CurriculumType,ID,Code,Title,Status,Responsible Organisational Entity,Assessment items,Availabilities,Broad Field of Education,Contact hours,Content,Corequisites,CurriculumUnique,CurriculumComplementary,CurriculumCore,CurriculumOption,Delivery locations,Detailed Field of Education,Enrolled credit points,First year of offer,Incompatibilities,Level,Narrow Field of Education,Offering status,Outcomes,Prerequisites,Teaching responsibilities,Undergraduate degree,Ungraded pass/fail exemption category,Unit type,Achievable credit points,Advisable prior study,Area of Knowledge (for broadening),Board Of Studies,Categorisation of Research Traning,Change summary,Co-taught units (other units with which this unit shares teaching activities),Consultations for accreditation purposes,Corresponding Year 12 subject,Curriculum,Experiential Learning,Type of experiential learning,Is experiential learning component?,Is experiential learning compulsory?,Description of experiential learning,Outcomes of experiential learning,Hours of student placement,Describe how both cohorts of students achieve the learning outcomes of the unit irrespective of the experiential learning component,ExperientialLearningPlacementFaculty,Incidental fees,Notes (published in handbook),Supplementary assessment statement,Supplementary assessment statement.1,Textbooks,Unit has Work Integrated Learning component,"Yes, SELT evaluation are applicable to this unit.","Yes, this Field of Education has Clinical component","Yes, this unit is co-taught with other units"
0,Unit,4545,TRNS5001,Histories and Theories of Translation Studies,Active,Humanities,"Indicative assessments in this unit are as follows: (1) questions, quizzes and participation (50%) and (2) essay (50%). Further information is available in the unit outline.","Semester 1 2022, Crawley (Online-TT) [Expected class size: 30] [Contact hours: 2];",09 - Society and Culture,24 hours,"This unit introduces translation studies through a consideration of fundamental driver for the field, language and cultural differences. A central purpose of this unit is to help students develop understanding of the purposes, aims and methodologies of translation research which is closely related with other disciplines like Sociology, Linguistics, Area Studies, Cultural Studies, History, and so on. Case studies are used to illustrate the important social and cultural role played by translation in promoting cross-cultural and cross-linguistic understanding. The unit is suitable for students of diverse language expertise and for students working on any language combination. Teaching modes include workshops, seminars and lectures. Students are required to participate actively in the teaching through group discussions and seminar presentations.",Nil.,,No course data stored for this unit.,"12520 Master of Translation Studies (coursework or coursework and dissertation) as core [Active]; 
","12220 Graduate Certificate in Translation Studies as option [Active]; 
",,091519 - Translating and Interpreting,6 points,2014,Nil.,5,0915 - Language and Literature,Available or will be available in future,"Students are able to (1) develop an understanding of purposes, aims and methodologies of translation studies [assessed by: questions, quizzes, participation and essay]; (2) be conversant with the development of translation studies in national and regional contexts as motivated by cross-cultural and cross-linguistic communication in different historical periods [assessed by: questions, quizzes, participation and essay]; and (3) develop critical analytical skills by analysing translations produced in different social, cultural and historical contexts [assessed by: questions, quizzes, participation and essay].",Nil.,"00120 Humanities,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Unit,4546,TRNS5002,Interdisciplinary Translation Studies,Active,Humanities,Indicative assessments in this unit are as follows: (1) composition (30%); (2) a glossary (20%); and (3) an essay (50%). Further information is available in the unit outline.,"Semester 2 2022, Crawley (Face to face) [Expected class size: 20] [Contact hours: 2];",09 - Society and Culture,24 hours,"Translation underscores cross-cultural and cross-linguistic interactions among different peoples and societies. A significant feature of Translation Studies is that, as a rapidly growing discipline, it is highly interdisciplinary offering a focus of significant research for diverse areas of study such as linguistics, sociology, gender studies, ethnography, area studies and comparative literature and so on. This unit introduces influential approaches to the study of translation and related social and cultural phenomena from distinct disciplinary perspectives. It helps students develop an in-depth understanding of translation and related social and cultural phenomena such as globalisation, multilingualism, cross-national identity construction, and so on. Case studies are used to illustrate interdisciplinary approaches to cross-cultural contacts and interactions.",Nil.,"12520 Master of Translation Studies (coursework or coursework and dissertation) as core [Active] [unique]; 
",No course data stored for this unit.,"12520 Master of Translation Studies (coursework or coursework and dissertation) as core [Active] [unique]; 
","12220 Graduate Certificate in Translation Studies as option [Active]; 
",,091519 - Translating and Interpreting,6 points,2014,Nil.,5,0915 - Language and Literature,Available or will be available in future,"Students are able to (1) be conversant with the interdisciplinary approaches to the study of translation and cross-cultural contacts introduced in this unit [assessed by: Compositions, glossary] and (2) apply the disciplinary approaches to translation in the critical analysis of related textual, social and cultural events and phenomena [assessed by: Essay].",Nil,"00120 Humanities,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Unit,4557,TRNS5011,The Ethics of Translation,Active,Humanities,Indicative assessments in this unit are as follows: (1) compositions (%); (2) reading notes (%); and (3) an end-of-semester take-home examination (%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Online-TT) [Expected class size: 30] [Contact hours: 2];",09 - Society and Culture,24 hours,"The unit's aim is to provide theoretical awareness and practical training to students for their future career as professional translators and bilingual professionals, that is, mediators between cultures. Its primary focus is on the ethics of translation, and its secondary aim is on translators' professional conduct and best practice in a commercial world. This includes issues that arise in the relationship between translator, client/audience, and the broader socio-cultural context.",Nil.,,No course data stored for this unit.,"12520 Master of Translation Studies (coursework or coursework and dissertation) as core [Active]; 
","12220 Graduate Certificate in Translation Studies as option [Active]; 
",,091519 - Translating and Interpreting,6 points,2015,Nil.,5,0915 - Language and Literature,Available or will be available in future,Students are able to (1) think critically about ethical issues a translator faces [assessed by: Compositions relating to scenarios; interviews of professionals; reading notes about seminal thinkers of Ethics in translation; take home examination]; (2) apply ethical issues to the analysis of particular text-types and situations [assessed by: Interviews of professionals; take home examination]; and (3) think critically about professional behaviour [assessed by: Reading notes of seminal thinkers of Ethics in translation; class participation].,Nil.,"00120 Humanities,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Unit,4547,TRNS5003,Corpus-based Translation Studies,Active,Humanities,Indicative assessments in this unit are as follows: (1) essay (20%); (2) a corpus-based translation project (40%); and (3) a laboratory-based end-of-semester examination (40%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Online-TT) [Expected class size: 30] [Contact hours: 2];",09 - Society and Culture,26 contact hours (maybe face-to-face and/or via Zoom),"The introduction of empirical databases and methodologies to the disciplines of Linguistics and Translation Studies has given rise to a rapidly growing discipline known as corpus-based translation studies. This theoretical and practical unit explores important concepts in Corpus Linguistics (CL) and Corpus-Based Translation Studies (CBTS). The methodology used in CL and CBTS entails the construction of translation databases, linguistic annotation of translation databases, quantitative exploration and qualitative analysis of translation corpora, which lie at the heart of the development of empirical translation research. Students develop useful analytical skills for the study of translational language and learn to apply relevant analytical frameworks in the study of translation such as translation stylistics, translation universal laws and norms. The insights gained into translational language help students to develop appropriate translation strategies in practical translation.",Nil.,,No course data stored for this unit.,,"12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
12220 Graduate Certificate in Translation Studies as option [Active]; 
",,091519 - Translating and Interpreting,6 points,2014,Nil.,5,0915 - Language and Literature,Available or will be available in future,"Students are able to (1) be conversant with key concepts and methodologies used in corpus-based translation studies, the historical development of the discipline and its relation with other branches of translation studies [assessed by: Essay]; (2) acquire essential skills of the construction and annotation of translation and parallel corpora [assessed by: Corpus-based translation project]; (3) develop essential quantitative and qualitative skills in the analysis of translation databases [assessed by: Corpus-based translation project]; (4) develop a corpus-based translation project and use computational software to identify new patterns in translations [assessed by: Lab-based end of semester exam]; and (5) apply relevant translation theories to critically analyse textual/linguistic patterns detected in translation and parallel corpora [assessed by: Lab-based end of semester exam, Essay].",Nil.,"00120 Humanities,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Unit,4549,TRNS5004,Technologies for the Translator,Active,Humanities,Indicative assessments in this unit are as follows: (1) a seminar presentation (30%); (2) short-answer exercise (20%); and (3) an individual project report (50%). Further information is available in the unit outline.,"Semester 2 2022, Crawley (Face to face) [Expected class size: 20] [Contact hours: 2];",09 - Society and Culture,26 hours,"Translation localisation represents a rapidly growing knowledge-based industry in a large part of the world. It grew out of the intensified cross-cultural and cross-language communication in the twentieth-first century, which gave rise to new patterns of global business in terms of the design, promotion and consumption of products, especially websites and software. Translation globalisation refers to the preparation of product that is designed for global markets, and localisation refers to the adaptation of the product for a specific market which often involves important linguistic, cultural and technical issues. 

The main purpose of this unit is to help students develop understanding and practical skills in the design of websites and software for specific markets amidst the growing globalisation. The unit introduces key language and cultural issues involved in the effective design of websites. It also introduces the use of latest localisation software and encourages students to have practical hands-on experience. This is a highly practical unit and illustrative case studies are used throughout the unit. Students are asked to form teams to complete a group project which entails the investigation or pilot study of specific national markets and the consumption habits of web/media products of specific social cultural groups.",Nil.,,No course data stored for this unit.,,"12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
12220 Graduate Certificate in Translation Studies as option [Active]; 
",,091519 - Translating and Interpreting,6 points,2014,Nil.,5,0915 - Language and Literature,Available or will be available in future,"Students are able to (1) be conversant with the development of translation localisation as an emerging knowledge-based industry and its impact on people's everyday life [assessed by: One seminar presentation as progress report of the group project (15%): (1)/(2)/(3)
Seminar presentation will be assessed based on the following criteria: 
1.	Depth of the analysis of the social, cultural, language and technical issues studied.
2.	Quality of the investigation: use of case studies, figures, graphs, quantitative/qualitative analysis
3.	Presentation skills: persuasion, engagement and clarity]; (2) develop awareness of the importance of language, social and cultural issues involved in localisation business [assessed by: One seminar presentation as progress report of the group project (15%): (1)/(2)/(3)
Seminar presentation will be assessed based on the following criteria: 
1.	Depth of the analysis of the social, cultural, language and technical issues studied.
2.	Quality of the investigation: use of case studies, figures, graphs, quantitative/qualitative analysis
3.	Presentation skills: persuasion, engagement and clarity.    
An early short answer exercise to test factual understanding of the key concepts: 15% 
Reflective essay with which students evaluate their own project: 30%  
Final project report (40%): (2)/(3)/(4)]; (3) develop practical skills in the design, delivery and promotion of localised or globalised products to different national/regional markets [assessed by: One seminar presentation as progress report of the group project (15%): (1)/(2)/(3)
Seminar presentation will be assessed based on the following criteria: 
1.	Depth of the analysis of the social, cultural, language and technical issues studied.
2.	Quality of the investigation: use of case studies, figures, graphs, quantitative/qualitative analysis
3.	Presentation skills: persuasion, engagement and clarity.     

An early short answer exercise to test factual understanding of the key concepts: 15% 
Reflective essay with which students evaluate their own project: 30%  
Final project report (40%): (2)/(3)/(4)]; and (4) develop a strong sense of teamwork which is essential for their future career development in corporate settings [assessed by: Final project report (40%): (2)/(3)/(4)].",Nil,"00120 Humanities,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Unit,2873,COMM5605,Issues in Contemporary Global Journalism,Active,Social Sciences,Indicative assessments in this unit are as follows: (1) presentation (25%); (2) case study (35%); and (3) essay (40%). Further information is available in the unit outline.,"Non-standard 2022 (Weeks 1-10 of semester 2, U4E.), Crawley (Online-TT) [Contact hours: n/a] [Satisfaction of academic standards: The number of contact hours are equivalent to a full
semester unit.] [Start: 25-07-2022] [Attendance start: 25-07-2022] [Attendance end: 09-10-2022] [End: 09-10-2022] [Requested census: ] [Group: U];",10 - Creative Arts,"This unit will be delivered online and it will consist of a mix of recorded lectures, structured activities and zoom tutorials.","This unit looks at the profession of journalism in the contemporary world, how it operates and what challenges it faces. Locally, the impact of the lifting of cross media ownership laws is examined. Globally, the challenges of paid content online, the decline of print media and the relative quality of broadcast media in the commercial space compared to government-owned media is addressed. The threats to the business model which has underpinned journalism for decades and the challenges financially imposed on the media from online and not-for-profit and citizen journalism are analysed. The interchange between free and suppressed fourth estates is examined and the debate over whether quality journalism can save the profession is tested.",Nil.,No course data stored for this unit.,No course data stored for this unit.,,"51580 Master of Science Communication (coursework or coursework and dissertation) as option [Active]; 
12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
12540 Master of Strategic Communication (coursework or coursework and dissertation) as option [Active]; 
12340 Graduate Diploma in Strategic Communication as option [Active]; 
12240 Graduate Certificate in Strategic Communication as option [Active]; 
",,100703 - Journalism,6 points,2012,Nil.,5,1007 - Communication and Media Studies,Available or will be available in future,"Students are able to (1) evaluate the impact of digital technology on contemporary journalism practices [assessed by: Presentation]; (2) analyse the media structures in different political systems and the ways in which these systems shape journalism [assessed by: Case Study]; and (3) analyse how key global technological, political and economic issues are reshaping journalism. [assessed by: Research Essay].",Nil.,"00125 Social Sciences,  (ROE), 100%",BDes,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Unit,4562,TRNS5111,Translation Studies Professional Placement,Active,Humanities,"Indicative assessments in this unit are as follows: (1) a work diary (40%); (2) professional reflective report (50%); and (3) host's evaluation
further information is available in the unit outline (10%). Further information is available in the unit outline.","Non-standard 2022 (NSTP over Summer), Overseas or Australia or remote (Face to face) [Satisfaction of academic standards: The internship will most likely be taken outside Semesters 1 and 2 so as not to interfere with coursework and research.] [Start: 15-11-2021] [Attendance start: 15-11-2021] [Attendance end: 13-03-2022] [End: 13-03-2022] [Requested census: ] [Group: Unknown]; Non-standard 2022 (NSTP over Winter), Overseas or Australia or remote (Face to face) [Satisfaction of academic standards: The internship will most likely be taken outside Semesters 1 and 2 so as not to interfere with coursework and research.] [Start: 13-06-2022] [Attendance start: 13-06-2022] [Attendance end: 28-08-2022] [End: 28-08-2022] [Requested census: ] [Group: Unknown]; Semester 1 2022, Overseas or Australia or remote (Face to face); Semester 2 2022, Overseas or Australia or remote (Face to face);",09 - Society and Culture,300 (including 240 workplace hours),"This unit provides opportunities for students to apply their translation knowledge and skills in an authentic work environment. They develop their understanding of the role of the professional translator as a member of a team, paying special attention to ethical, linguistic and technological challenges. Under the guidance of the unit coordinator, and as future professionals, students are expected to find their own work placement. They can also be directed to potential hosts in Australia or in the countries of their other language such as translation agencies, universities, chambers of commerce, local companies, newspapers or non-for-profit organisations.",Nil.,,No course data stored for this unit.,,"12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
",,091519 - Translating and Interpreting,12 points,2015,Nil.,5,0915 - Language and Literature,Available or will be available in future,Students are able to (1) apply ethical and professional conduct under real-life conditions [assessed by: (1) a work diary; (2) professional reflective report; and (3) Host's evaluation]; (2) develop practical in depth communication skills for their future careers as bilingual professionals [assessed by: (1) a work diary; (2) professional reflective report; and (3) Host's evaluation]; (3) critically reflect on their role as a professional translators [assessed by: (1) a work diary; (2) professional reflective report; and (3) Host's evaluation]; and (4) achieve higher language competence in their language pair [assessed by: (1) a work diary; (2) professional reflective report; and (3) Host's evaluation].,"       Atleast      48 points  12520 Master of Translation Studies (ID 346) from a specialisation: Chinese, Japanese, Indonesian; French, German, Italian or Spanish      12 points   from a specialisation: Chinese, Japanese, Indonesian; French, German, Italian or Spanish","00120 Humanities,  (ROE), 100%",,"Yes, this unit is an ungraded pass/fail. Category 1: Units where the involvement of external assessors makes it difficult to compare students' performance in an equitable manner and provide appropriately graded results for the units (for example, in-country units, cross-institutional enrolments and practicum units such as practical experience unit and work experience in industry).",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Unit,4861,TRNS5007,Translation Revision and Post-editing,Active,Humanities,Indicative assessments in this unit are as follows: (1) a translation (up to 6000 words) and a revision by a peer (40%); (2) an exegesis (up to 1000 words) (30%); and (3) post-editing of machine-translated texts (30%). Further information is available in the unit outline.,"Semester 2 2022, Crawley (Online-TT) [Expected class size: 20] [Contact hours: 2];",09 - Society and Culture,24 hours,"This project-based unit offers students the opportunity to expand skills associated with translation. They will learn to develop their self-reflexivity by translating a long text of their choice, and produce a critical exegesis articulating their specific translation strategies, including choice of lexis and expression, grammatical variation, cross-cultural communication, register and style. They will also develop an understanding of the task of translation revision and implement best practice in communicating with other translation stakeholders. Finally, based on the latest thinking about the interface between human and machine translation, students will further acquire post-editing skills by assessing and correcting the output of machine translated texts.",Nil,,"No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Translation Studies (approved)",,"12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
",,091519 - Translating and Interpreting,6 points,2015,Nil,5,0915 - Language and Literature,Available or will be available in future,"Students are able to (1) consolidate translation strategies and tactics by translating an original text [assessed by: Translation (up to 6000 words). This translation is reviewed by a peer in their language specialisation.]; (2) show awareness of the use of appropriate strategies to deal with specific translation issues, and enhance the quality of the translation produced [assessed by: Exegesis (up to 1000 words) providing a critical review of the translation process.]; and (3) develop post-editing skills [assessed by: Demonstrate an understanding of the strengths and weaknesses of machine translation systems by correcting a machine-translated text.].",units to the value of 24 points in the Master of Translation Studies (12520),"00120 Humanities,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Unit,4869,TRNS5006,General Interpreting,Active,Humanities,"Indicative assessments in this unit are as follows: (1) a written essay on interviews conducted with practising interpreters (40%); (2) speech shadowing, interpreting practice in their language specialisation (40%); and (3) an analysis of authentic interpreting situations (20%). Further information is available in the unit outline.","Semester 2 2022, Crawley (Online-TT) [Contact hours: n/a];",09 - Society and Culture,24 hours,"This unit taught in English is open to all the language specialisations on offer in the Master of Translation. It introduces key elements relating to interpreting (speaking) as distinct from translating (written), as well as fundamental skills and techniques. Students are made conversant with the range of interpreting practices and develop interpreting capacity-building techniques such as note-taking, memory enhancement, speech analysis, and voice and public speaking training. They are taught how to deal with language registers, figures of speech, and cultural sensitivity in various interpretation situations.",Nil,,"No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Translation Studies (approved)","12520 Master of Translation Studies (coursework or coursework and dissertation) as core in Chinese Interpreting [Active]; 
","12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
",,091519 - Translating and Interpreting,6 points,2015,Nil,5,0915 - Language and Literature,Available or will be available in future,Students are able to (1) distinguish between types of interpreting settings and identify the skill set required in each of them [assessed by: (1) analysing scenarios of interpreting situations; and (2) demonstrate interpreting skills in their language specialisation] and (2) demonstrate understanding of essential interpreting skills and professional development techniques [assessed by: (1) writing an essay on interviews conducted with practicing interpreters; and (2) demonstrate speech shadowing in English].,units to the value of 24 points in the Master of Translation Studies (12520),"00120 Humanities,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Unit,4978,COMM5701,Strategic Communications in a Digital Era,Active,Social Sciences,Indicative assessments in this unit are as follows: (1) research essay (40%); (2) communications campaign (35%); and (3) quiz (25%). Further information is available in the unit outline.,"Non-standard 2022 (Intensive unit offered in the first half of semester 1. Period code: U1D), Crawley (Online-TT) [Contact hours: n/a] [Satisfaction of academic standards: The number of contact hours are equivalent to a full semester unit. Contact hours and student study load together add up to 150 hours of student workload.] [Start: 28-02-2022] [Attendance start: 28-02-2022] [Attendance end: 10-04-2022] [End: 17-04-2022] [Requested census: ] [Group: U];",10 - Creative Arts,up to 24 hours,"This unit introduces the key concepts in strategic communications and considers the way in which digital technologies have reinvented communication processes. It overviews the drivers of strategic communication and considers how the fields of public relations, media management, marketing and corporate communications have adapted their communication practices. The unit provides students with knowledge and skills in relation to (1) the role of strategic communications in achieving outcomes; (2) the importance of cultural literacy in building stakeholder relationships; (3) the centrality of issues management in effective communications; (4) the ways in which digital technologies have refined communication tactics like event planning and media liaison; and (5) and the value of research/data to targeted communications.",Nil,"12540 Master of Strategic Communication (coursework or coursework and dissertation) as core [Active] [unique]; 
","No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Strategic Communication (Coursework &amp; Dissertation)
Master of Strategic Communication (Coursework)
Graduate Diploma in Strategic Communication
Graduate Certificate in Strategic Communication","12540 Master of Strategic Communication (coursework or coursework and dissertation) as core [Active] [unique]; 
12340 Graduate Diploma in Strategic Communication as core [Active]; 
","HON-CMMST Communication and Media Studies (BA (Hons)|*|) as option [Drafted from 2023]; 
51580 Master of Science Communication (coursework or coursework and dissertation) as option [Active]; 
12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
12240 Graduate Certificate in Strategic Communication as option [Active]; 
12560 Master of Social Research Methods (coursework or coursework and dissertation) as option [Active]; 
12360 Graduate Diploma in Social Research Methods as option [Active]; 
",,"100799 - Communication and Media Studies, n.e",6 points,2015,Nil,5,1007 - Communication and Media Studies,Available or will be available in future,Students are able to (1) demonstrate an understanding of the field of strategic communications and its relationship to other media and communications processes [assessed by: research essay and quiz]; (2) apply fundamental skills in strategic communications [assessed by: communications campaign]; and (3) demonstrate research and analytical skills required to be a strategist. [assessed by: research essay and quiz].,Nil,"00125 Social Sciences,  (ROE), 100%",,"No, this unit is not an ungraded pass/fail.",Unit in postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
