Code,CurriculumType,ID,Title,Status,Responsible Organisational Entity,Assessment items,Availabilities,Broad Field of Education,Contact hours,Content,Corequisites,CurriculumUnique,CurriculumComplementary,CurriculumCore,CurriculumOption,Delivery locations,Detailed Field of Education,Enrolled credit points,First year of offer,Incompatibilities,Level,Narrow Field of Education,Offering status,Outcomes,Prerequisites,Teaching responsibilities,Undergraduate degree,Ungraded pass/fail exemption category,Unit type,Achievable credit points,Advisable prior study,Area of Knowledge (for broadening),Board Of Studies,Categorisation of Research Traning,Co-taught units (other units with which this unit shares teaching activities),Corresponding Year 12 subject,Curriculum,Experiential Learning,Type of experiential learning,Is experiential learning component?,Is experiential learning compulsory?,Description of experiential learning,Outcomes of experiential learning,Hours of student placement,Describe how both cohorts of students achieve the learning outcomes of the unit irrespective of the experiential learning component,ExperientialLearningPlacementFaculty,Notes (published in handbook),Supplementary assessment statement,Textbooks,Unit has Work Integrated Learning component,"Yes, SELT evaluation are applicable to this unit.","Yes, this Field of Education has Clinical component","Yes, this unit is co-taught with other units",Incidental fees,Supplementary assessment statement.1,Change summary,Consultations for accreditation purposes
ACCT1101,,443,Financial Accounting,,,,"Semester 1 2022, Online (Online-TT) [Contact hours: n/a]; Semester 1 2022, Crawley (Face to face); Semester 1 2022, Albany (Face to face); Semester 2 2022, Online (Online-TT) [Contact hours: n/a]; Semester 2 2022, Crawley (Face to face);",,,,Nil.,,,,,,,,,ACCT5432 Introductory Financial Accounting,,,,"Students are able to (1) demonstrate an understanding of the accounting environment
and changing role of Accountants with respect to reporting on issues such as ICT (information, communication & technologies) and sustainability [assessed by: Tutorial Participation & examinations]; (2) show an ability to apply accounting vocabulary, principles and concepts [assessed by: Tutorial Participation & examinations]; (3) prepare general purpose financial statements [assessed by: Tutorial participation, assignment and examinations]; (4) analyse transactions and prepare journals, ledgers and worksheets, and a Trial Balance [assessed by: Tutorial participation, assignment and examinations]; (5) appreciate internal control, corporate governance and the ethical issues affecting the work of accountants [assessed by: Tutorial Participation & examinations]; and (6) analyse and interpret financial statements [assessed by: Tutorial Participation & examinations].",Nil.,,,,,,,,,,,,"CB006 Bachelor of Engineering (Honours)/ Bachelor of Commerce as core [Active]; 
CB017 Bachelor of Philosophy, Politics and Economics and Bachelor of Commerce as core [Active]; 
CB023 Bachelor of Human Rights and Bachelor of Commerce as core [Active]; 
MJD-ACCTG Accounting (BCom|*|) as core [Active]; 
MJD-FINCE Finance (BCom|*|) as core [Active]; 
MJD-BSLAW Business Law (BCom|*|) as core [Active]; 
MJD-BUSAN Business Analytics (BCom|*|) [Foundation Units] [Active]; 
BP002 Bachelor of Commerce () as core [Active]; 
",,,,,,,,,,,,,,,,,,,,
ACCT5432,Unit,2664,Introductory Financial Accounting,Active,UWA Business School,Indicative assessments in this unit are as follows: (1) participation (20%); (2) practical assessment (30%); and (3) final examination (50%) [failed component]. Further information is available in the unit outline.,"Semester 1 2022, Crawley (Face to face); Semester 1 2022, Online (Online) [Contact hours: n/a]; Semester 2 2022, Crawley (Face to face); Semester 2 2022, Online (Online-TT) [Contact hours: n/a];",08 - Management and Commerce,lectures/seminars/workshops: up to 3 hours per week,"This unit provides an understanding of accounting concepts, issues and problems. The focus is on accounting for external users. It also examines the basic concepts underlying external general purpose financial reports as well as techniques to analyse such reports. The unit initially uses a worksheet approach but then introduces debits and credits and the use of journals and ledger accounts to record the accounting cycle.",Nil.,No course data stored for this unit.,No course data stored for this unit.,,"61550 Master of Professional Engineering as option in Mining Engineering [Active]; 
62550 Master of Professional Engineering as option in Mining Engineering [Active]; 
41280 Graduate Certificate in Commerce as option [Active]; 
12580 Master of Asian Studies (coursework or coursework and dissertation) as option in Business [Active]; 
42260 Graduate Certificate in Commerce (Online) as option [Active]; 
42630 Master of Business Analytics (coursework) as option [Active]; 
",,080101 - Accounting,,2012.0,"ACCT1101 Financial Accounting, ACCT5602 Accounting",5.0,0801 - Accounting,Available or will be available in future,"Students are able to (1) identify and justify the treatment of financial reporting transactions and demonstrate the ability to prepare accounting records and transactions that require judgement [assessed by: practical assessments, participation and final examination]; (2) identify the concepts in relation to, and be aware of, the major requirements impacting upon the preparation of conventional financial statements [assessed by: practical assessments,participation and final examination]; (3) critically apply theoretical and technical accounting knowledge in order to analyse and interpret information presented in financial statements (with particular emphasis on using ratio analysis and cash flow analysis) [assessed by: practical assessments, participation and final examination]; (4) develop competencies to work effectively in teams to resolve accounting issues [assessed by: practical assessments and participation]; (5) demonstrate the ability to produce clear and concise written communication in a complex accounting context, which includes supporting data visualisations when applicable. [assessed by: practical assessments and participation]; and (6) discuss the changing role of Accountants with respect to reporting on issues such as ICT (information, communication & technologies) and sustainability [assessed by: participation and final examination
].",Nil.,,BSc,,Unit in postgraduate courses,,,,,,,,"61550 Master of Professional Engineering as option in Mining Engineering [Active]; 
40610 Master of Professional Accounting (coursework) as conversion [Active]; 
62550 Master of Professional Engineering as option in Mining Engineering [Active]; 
73530 Master of Agricultural Economics (coursework or coursework and dissertation) as conversion in Agribusiness [Active]; 
41280 Graduate Certificate in Commerce as option [Active]; 
12580 Master of Asian Studies (coursework or coursework and dissertation) as option in Business [Active]; 
42260 Graduate Certificate in Commerce (Online) as option [Active]; 
42630 Master of Business Analytics (coursework) as option [Active]; 
42660 Master of Professional Accounting (Chartered Accounting) (coursework) as conversion [Active]; 
",,,,,,,,,,,,,,,,,,,,
AGRI1001,,7250,Feeding the World,,,,"Semester 1 2022, Crawley (Face to face) [Expected class size: 50] [Contact hours: 4]; Semester 1 2022, Albany (Face to face) [Expected class size: 4-10] [Contact hours: 4];",,,,Nil,,,,,,,,,Nil,,,,"Students are able to (1) explain how to achieve global food security by intensifying agriculture in an ecologically sustainable manner [assessed by: On-line quizzes]; (2) describe key global and Australian agricultural systems and the foods they produce to feed the world [assessed by: On-line quizzes and written reports on practical (including field) activities]; (3) investigate how agricultural research, combined with innovative technologies and farming systems, can meet global food and environmental challenges [assessed by: On-line quizzes and written reports on practical (including field) activities and final presentation]; and (4) explain how agricultural systems and the foods they produce are influenced by culture and changing community perceptions. [assessed by: On-line quizzes and final presentation].",Nil,,,,,,,,,,,,"MJD-AGSCI Agricultural Science (BSc|*|) as core [Active]; 
MJD-AGTDM Agricultural Science and Technology (BAgSc|*|) as core [Active]; 
MJD-AGTEC Agricultural Technology (BSc|*|) as core [Active]; 
MJD-AGBDM Agribusiness and Agricultural Science (BAgBus|*|) as core [Active]; 
MJD-AGBUS Agribusiness (BSc|*|) as core [Active]; 
MNR-FCENV Feeding the Future World () as core [Active]; 
",,,,,,,,,,,,,,,,,,,,
AGRI2201,,5825,Pasture and Livestock Systems,,,,"Semester 2 2022, Crawley (Face to face) [Expected class size: 30-40];",,,,Nil,,,,,,,,,Nil,,,,"Students are able to (1) list the key characteristics of the current common pasture and livestock species grown in Australia [assessed by: Exam, Fieldtrip report]; (2) demonstrate understanding of the ruminant digestive system and how livestock energy demand can be matched to feed type and availability [assessed by: Exam, Fieldtrip report]; (3) communicate the key factors influencing the economic viability of grazing systems in Western Australia [assessed by: Exam]; (4) demonstrate a capacity for broad and critical thinking in relation to how pasture and livestock systems in Western Australia could implement innovative solutions to current economic and environmental challenges [assessed by: Fieldtrip report]; (5) demonstrate understanding of the basic principles of experimental design, data collection and data exploration for pasture and livestock experiments [assessed by: Laboratory report]; and (6) build a simple computer model of an agricultural system using Excel and the R statistical package to predict outcomes from various scenarios [assessed by: Laboratory report].",BIOL1130 Frontiers in Biology or BIOL1131 Plant and Animal Biology or AGRI1001 Feeding the World and (SCIE1104 Science Society and Data Analysis or STAT1400 Statistics for Science or STAT1520 Economic and Business Statistics ),,,,,,,,,,,,"MJD-AGSCI Agricultural Science (BSc|*|) as core [Active]; 
MJD-AGTDM Agricultural Science and Technology (BAgSc|*|) as core [Active]; 
MJD-AGTEC Agricultural Technology (BSc|*|) as core [Active]; 
MJD-AGBDM Agribusiness and Agricultural Science (BAgBus|*|) as core [Active]; 
MJD-AGBUS Agribusiness (BSc|*|) as core [Active]; 
",,,,,,,,,,,,,,,,,,,,
ANIM3306,,1525,"Clean, Green and Ethical Animal Production",,,,"Semester 2 2022, Crawley (Face to face);",,,,Nil.,,,,,,,,,Nil.,,,,"Students are able to (1) explain the principles of clean, green and ethical animal production, including the supply chain and its importance to agriculture in the twenty-first century [assessed by: online quizzes, written report, oral presentation]; (2) demonstrate knowledge of the principles  underpinning animal production industries [assessed by: online quizzes, written report, oral presentation]; (3) appraise the role of ongoing research and expansion of knowledge in animal industries [assessed by: online quizzes, written report, oral presentation]; and (4) apply communication skills [assessed by: written reports, oral presentation].",any Level 2 ANIM unit or AGRI2201 Pasture and Livestock Systems,,,,,,,,,,,,"MJD-AGSCI Agricultural Science (BSc|*|) as core [Active]; 
MJD-AGTDM Agricultural Science and Technology (BAgSc|*|) as core [Active]; 
MJD-AGBDM Agribusiness and Agricultural Science (BAgBus|*|) as core [Active]; 
MJD-AGBUS Agribusiness (BSc|*|) as core [Active]; 
",,,,,,,,,,,,,,,,,,,,
ASIA5001,Unit,5978,Key Debates in the Asian Region,Active,Social Sciences,Indicative assessments in this unit are as follows: (1) seminar participation (30%) and (2) essay (70%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Face to face) [Expected class size: 5]; Semester 1 2022, Crawley (Online-TT) [Contact hours: n/a];",09 - Society and Culture,seminars at least 20 hours over 12 weeks,"This unit has been designed to allow students to critically reflect on challenging and pressing issues confronting Asian societies in an increasingly globalised world where different worldviews and value systems intersect and sometimes collide. The unit examines different approaches to the study of social transformations in contemporary Asia , and its interactions with the rest of the world. These may include topics such as environment, inequality, corruption, development, education, religion and human rights. The specialised knowledge acquired through the unit gives students a skill set and understanding to engage meaningfully with these key national and transnational issues in the Asian region. Students develop research skills and a critical capacity which they can utilise in a variety of professional contexts.",Nil,"No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Asian Studies [proposed for 2017]","No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Asian Studies [proposed for 2017]","HON-ASSTD Asian Studies (BA (Hons)|*|) as core [Active]; 
12580 Master of Asian Studies (coursework or coursework and dissertation) as core [Active]; 
13380 Graduate Diploma in Asian Studies as core [Active]; 
13280 Graduate Certificate in Asian Studies as core [Active]; 
","HON-ANTSC Anthropology and Sociology (BA (Hons)|*|) as option [Drafted from 2023]; 
12520 Master of Translation Studies (coursework or coursework and dissertation) as option [Active]; 
",,090303 - Anthropology,6 points,2017.0,Nil,5.0,0903 - Studies in Human Society,Available or will be available in future,"Students are able to (1) demonstrate ability to critically reflect on different approaches to analysing the historical and political challenges in Asia [assessed by: essay, seminar participation]; (2) critically analyse historical and contemporary causes of structural and social changes that are profoundly impacting on the Asian region [assessed by: essay, seminar participation]; (3) demonstrate practical expert judgement to  interpret, evaluate and communicate an issue covered in this unit through producing a recommendation report [assessed by: essay]; and (4) formulate research questions and critically assess source material in the context of Asian Studies suitable for specialist and non-specialist audiences [assessed by: essay].",Nil,"00125 Social Sciences,  (ROE), 100%",BA,"No, this unit is not an ungraded pass/fail.",Unit in undergraduate honours specialisation(s) and postgraduate courses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTO4508,Unit,8100,Mobile Robots,Active,Engineering,Indicative assessments in this unit are as follows: (1) laboratories (25%); (2) project (15%); and (3) tests and examinations (60%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Face to face); Semester 1 2022, Crawley (Online-RE) [Contact hours: n/a];",03 - Engineering And Related Technologies,lectures and laboratories,"This unit gives an overview of robotics and automation techniques. It covers: automation systems; robot manipulators; mobile robotic systems; robotic guidance: kinematics, localisation, navigation, and mapping; and robotic sensing: robot vision and artificial intelligence. The unit uses robot simulation as well as work on real robots during labs and group projects.",Nil,"No course data stored for this unit. When proposed, the intended courses for the unit were: BE(Hons): Automation and Robotics Engineering major
Bachelor of Automation and Robotics: will replace GENG5508 Robotics
MPE: will replace GENG5508 Robotics","No course data stored for this unit. When proposed, the intended courses for the unit were: BE(Hons): Automation and Robotics Engineering major
Bachelor of Automation and Robotics: will replace GENG5508 Robotics
MPE: will replace GENG5508 Robotics","MJD-ATRDM Automation and Robotics (BAR|*|) as core [Active]; 
MJD-EAUTO Automation and Robotics Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
","62550 Master of Professional Engineering as option in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
62550 Master of Professional Engineering as option in Software Engineering [Active]; 
62510 Master of Information Technology (coursework) as option [Active]; 
",,031305 - Computer Engineering,,2022.0,       GENG5508 Robotics,4.0,0313 - Electrical and Electronic Engineering ,Available or will be available in future,"Students are able to (1) discuss the history and evolution of applications of robotics systems [assessed by: tests and examinations]; (2) demonstrate procedural programming skills [assessed by: laboratories, project]; (3) demonstrate research capabilities through applying foundation knowledge to practical robotics applications [assessed by: project]; (4) develop code for robot-specific algorithms [assessed by: laboratories, project, tests and examinations]; (5) apply specific AI methods when appropriate [assessed by: laboratories, project, tests and examinations]; and (6) use a robot simulation system and a physical robot safely, effectively and efficiently [assessed by: laboratories, project].", (     Course Enrolment in the BH011 Bachelor of Engineering [Honours]   or      the CB006 Bachelor of Engineering [Honours] / Bachelor of Commerce   or      the CB004 Bachelor of Engineering [Honours] / Bachelor of Science   or      the CB014 Bachelor of Engineering [Honours] / Bachelor of Philosophy [Honours]   or      the BP007 Bachelor of Automation and Robotics   or      the 62550 Master of Professional Engineering   or      the 62510 Master of Information Technology   )         and         (      CITS1001 Software Engineering with Java   or      CITS1401 Computational Thinking with Python   or      CITS2002 Systems Programming   or      CITS2401 Computer Analysis and Visualisation   ),,BA,,Unit in major(s) and postgraduate courses,,,,,,,,"MJD-ATRDM Automation and Robotics (BAR|*|) as core [Active]; 
MJD-EAUTO Automation and Robotics Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
62550 Master of Professional Engineering as option in Electrical and Electronic Engineering [Active]; 
62550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
62550 Master of Professional Engineering as option in Software Engineering [Active]; 
62510 Master of Information Technology (coursework) as option [Active]; 
",,,,,,,,,,,,,,,,,,,,
BIOL1131,,1244,Plant and Animal Biology,,,,"Semester 2 2022, Crawley (Face to face) [Expected class size: 300] [Contact hours: 5]; Semester 2 2022, Albany (Face to face) [Expected class size: 10] [Contact hours: 4];",,,,Nil,,,,,,,,,Nil,,,,"Students are able to (1) recall and articulate the diversity of ways that living organisms live and how functional adaptations allow organisms to exploit a wide range of environmental conditions [assessed by: final exam and individual continuous assessment]; (2) understand how knowledge of biological processes can be used to make management decisions in natural or altered ecosystems [assessed by: final exam, individual continuous assessment, a group project]; (3) describe how structural, physiological and behavioural adaptations allow organisms to exploit a wide range of environmental conditions [assessed by: final exam and individual continuous assessment]; (4) demonstrate the principles of experimental design and analysis through application to practical exercises and assignments [assessed by: individual continuous assessment, a group project]; (5) demonstrate critical thinking through practical assessments [assessed by: individual continuous assessment, a group project]; and (6) work cooperatively in practical classes, handling biological materials and equipment in a proficient and safe manner [assessed by: individual continuous assessment, a group project].",Nil,,,,,,,,,,,,"MJD-CONBI Conservation Biology (BSc|*|) as core [Active]; 
MJD-ZOOLY Zoology (BSc|*|) as core [Active]; 
MJD-BOTNY Botany (BSc|*|) as core [Active]; 
MJD-AGSCI Agricultural Science (BSc|*|) as core [Active]; 
MJD-ENVSC Environmental Science (BSc|*|) as core [Active]; 
MJD-MARSC Marine Science (BSc|*|) as core in Coastal and Ocean Systems [Active]; 
MJD-MARSC Marine Science (BSc|*|) as core in Marine Biology [Active]; 
MJD-AGTDM Agricultural Science and Technology (BAgSc|*|) as core [Active]; 
MJD-WLCDM Wildlife Conservation (BBioSc|*|) as core [Active]; 
MJD-IEMDM Integrated Earth and Marine Sciences (BEarthSc|*|) as core [Active]; 
MJD-ENVDM Environmental Science and Management (BEnvSc|*|) as core [Active]; 
MJD-MARDM Marine Science (BMarSc|*|) as core [Active]; 
MJD-MBIOL Marine Biology (BSc|*|) as core [Active]; 
MJD-MARCP Marine and Coastal Processes (BSc|*|) as core [Active]; 
MJD-AGBDM Agribusiness and Agricultural Science (BAgBus|*|) as core [Active]; 
MJD-ENVEM Environmental Science and Ecology (BEnvSc|*|) as core [Active]; 
MJD-BIDEM Biodiversity and Evolution (BBioSc|*|) as core [Active]; 
MJD-PLBEM Plant Biology (BBioSc|*|) as core [Active]; 
MNR-ENVBI Environmental Biology () as core [Active]; 
MNR-FCENV Feeding the Future World () as option [Active but approved to be removed from 2023]; 
",,,,,,,,,,,,,,,,,,,,
BMEG4001,Unit,6297,Biomedical Instrumentation,Active,Engineering,Indicative assessments in this unit are as follows: (1) laboratories (20%); (2) a project (20%); and (3) examinations (60%). Further information is available in the unit outline.,"Semester 2 2022, Crawley (Face to face); Semester 2 2022, Crawley (Online-RE) [Contact hours: n/a] [Not available for self service enrolment];",03 - Engineering And Related Technologies,lectures: 2 hours per week; activities: 2 hours per week,"In this unit, students will primarily apply knowledge of electronic engineering principles to the design and development of bioinstrumentation. A main focus of the unit will be to combine knowledge of bioinstrumentation with lab-based learning, ensuring students gain practical experience of bioinstrumentation, focussed in the area of biophotonics. Students will take a hands-on approach to explore each step in the development and implementation of bioinstrumentation from the physiological parameter measured and the mechanism used to interpret the measured data, to how the physician uses this information. Key aspects of the unit include: 
1.	A detailed analysis of how light is applied for diagnosis and therapy in bioinstrumentation, including the underlying physics of how light propagates in tissue and how this interaction assists in the treatment of various diseases and medical conditions.
2.	An analysis of biopotentials and how they are used in techniques such as electrocardiography. 
3.	Analogue and digital circuitry used to condition detected biomedical signals.
4.	Core aspects of biomedical signal processing.
5.	A detailed description and analysis of specific bioinstruments, including noise and safety considerations.",Nil.,"No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Professional Engineering","No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Professional Engineering","MJD-EBMEG Biomedical Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
62550 Master of Professional Engineering as core in Biomedical Engineering [Active]; 
","62550 Master of Professional Engineering as option in Electrical and Electronic Engineering [Active]; 
",,039903 - Biomedical Engineering,,2019.0,Nil,4.0,0399 - Other Engineering and Related Technologies,Available or will be available in future,"Students are able to (1) identify measurable physiological parameters relevant to human health [assessed by: Exam, Lab]; (2) evaluate suitable biomedical sensors to measure physiological parameters, in particular, using light and biopotentials [assessed by: Exam, Lab, Class test]; (3) apply knowledge of analogue and digital electronics to acquire biomedical sensor data [assessed by: Exam]; (4) apply knowledge of signal processing to design mechanisms for appropriate enhancement of detected biomedically-derived signals [assessed by: Exam]; (5) explain the theory, operation and limitations of specific bioinstruments [assessed by: Lab, Exam]; and (6) design a bioinstrument for a specific clinical application [assessed by: Lab].",enrolment in the Master of Professional Engineering (Biomedical Engineering specialisation or Electrical & Electronic Engineering specialisation or Mechanical Engineering specialisation),,BA,,Unit in major(s) and postgraduate courses,,,,,,,,"MJD-EBMEG Biomedical Engineering (BE (Hons)|*|BE (Hons) - BSc|*|BE (Hons) - BCom|*|BE (Hons) - BPhil(Hons)|*|) as core [Active]; 
62550 Master of Professional Engineering as core in Biomedical Engineering [Active]; 
62550 Master of Professional Engineering as option in Electrical and Electronic Engineering [Active]; 
",,,,,,,,,,,,,,,,,,,,
BMEG4002,Unit,6298,Biomaterials,Active,Engineering,Indicative assessments in this unit are as follows: (1) individual project (written and oral presentation) (50%); (2) group lab reports (10%); and (3) a final examination (40%). Further information is available in the unit outline.,"Semester 1 2022, Crawley (Face to face);",03 - Engineering And Related Technologies,lectures: 2 hours per week; practical classes and lab classes: 2 hours per week,"Biomaterials is one of the most rapidly expanding technological fields of recent decades. It covers the range of materials that are designed to interact with biological systems for a medical purpose and includes metals, ceramics, polymers and composites; both naturally derived and man-made. This unit also covers the events that occur when a foreign material is placed in contact with living tissues. From total organ/joint replacement to wound dressings, dental repairs and controlled drug release systems, almost every human being on earth is exposed to biomaterials during their lifetime.",Nil,"No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Professional Engineering","No course data stored for this unit. When proposed, the intended courses for the unit were: Master of Professional Engineering","62550 Master of Professional Engineering as core in Biomedical Engineering [Active]; 
","62550 Master of Professional Engineering as option in Chemical Engineering [Active]; 
62550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
",,,,2018.0,Nil,4.0,0399 - Other Engineering and Related Technolo,Available or will be available in future,Students are able to (1) classify biomaterials [assessed by: individual project; group lab; exam]; (2) evaluate the impact of implanted biomaterials on the  human body responds to an implanted biomaterial [assessed by: individual project; group lab; exam]; (3) assess biomaterials for biocompatibility [assessed by: individual project; group lab; exam]; (4) discuss the regulatory process to have a new material approved for use [assessed by: individual project; group lab; exam]; (5) select biomaterials for specific applications [assessed by: individual project; group lab]; and (6) communicate effectively with the medical community about biomaterials [assessed by: individual project; group lab].,enrolment in the Master of Professional Engineering (Biomedical Engineering specialisation or Chemical Engineering specialisation or Mechanical Engineering specialisation),,BA,,Unit in postgraduate courses,,,,,,,,"62550 Master of Professional Engineering as core in Biomedical Engineering [Active]; 
62550 Master of Professional Engineering as option in Chemical Engineering [Active]; 
62550 Master of Professional Engineering as option in Mechanical Engineering [Active]; 
",,,,,,,,,,,,,,,,,,,,
